filghtId,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left,filghtId,price
269611,Vistara,UK-776,Kolkata,Evening,one,Night,Bangalore,27.33,39,269611,52287
255561,Air_India,AI-808,Bangalore,Night,one,Morning,Kolkata,12,43,255561,60508
208788,Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,23.75,21,208788,41281
286619,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Chennai,15.83,29,286619,51595
228128,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,17.33,32,228128,41269
212231,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,10.25,5,212231,62729
234370,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,17.5,5,234370,49725
291172,Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,16,15,291172,49553
296083,Air_India,AI-569,Chennai,Early_Morning,one,Night,Kolkata,17.33,6,296083,54481
226190,Air_India,AI-660,Mumbai,Evening,zero,Night,Delhi,2.42,14,226190,22140
265973,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.58,30,265973,50271
292150,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,30,292150,23838
207392,Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,11.33,8,207392,53164
230619,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,17.33,9,230619,54608
256992,Vistara,UK-802,Bangalore,Evening,one,Evening,Hyderabad,25.08,18,256992,56588
215289,Vistara,UK-953,Delhi,Night,one,Morning,Bangalore,12.17,42,215289,42457
293081,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,44,293081,23838
279509,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,15.08,37,279509,45883
219918,Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,11.42,16,219918,46097
253514,Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,20.92,12,253514,78428
265915,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.25,29,265915,58212
257443,Vistara,UK-802,Bangalore,Evening,one,Evening,Hyderabad,22.17,25,257443,56588
279959,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,9.67,44,279959,45995
243513,Air_India,AI-867,Mumbai,Night,one,Morning,Chennai,11.42,30,243513,49613
293668,Vistara,UK-836,Chennai,Morning,one,Evening,Bangalore,8.08,7,293668,60260
228757,Air_India,AI-651,Mumbai,Morning,one,Evening,Delhi,9.92,38,228757,39610
236043,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,15,25,236043,57565
216378,Air_India,AI-877,Delhi,Morning,one,Afternoon,Kolkata,25.5,10,216378,31528
226251,Vistara,UK-825,Mumbai,Morning,one,Evening,Delhi,10.17,14,226251,51372
227349,Air_India,AI-631,Mumbai,Evening,one,Morning,Delhi,14.08,25,227349,29764
257483,Air_India,AI-610,Bangalore,Evening,one,Night,Hyderabad,26.42,26,257483,37929
220278,Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,14.58,22,220278,51697
270853,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,10.67,14,270853,67497
279298,Vistara,UK-830,Hyderabad,Morning,one,Evening,Mumbai,6.17,34,279298,45995
238230,Vistara,UK-940,Mumbai,Evening,one,Morning,Hyderabad,13.92,5,238230,68317
294461,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Bangalore,10.75,22,294461,44144
227941,Vistara,UK-823,Mumbai,Evening,one,Night,Delhi,6.08,30,227941,51372
292429,Air_India,AI-538,Chennai,Night,one,Morning,Mumbai,12.75,34,292429,49553
223268,Vistara,UK-985,Delhi,Evening,one,Morning,Chennai,13,23,223268,65832
243712,Air_India,AI-570,Mumbai,Early_Morning,zero,Early_Morning,Chennai,2,33,243712,23484
220018,Air_India,AI-865,Delhi,Morning,one,Night,Hyderabad,10.92,18,220018,39321
293662,Vistara,UK-822,Chennai,Morning,one,Evening,Bangalore,9.5,7,293662,49856
227383,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,20.33,25,227383,41269
278892,Vistara,UK-876,Hyderabad,Night,zero,Night,Mumbai,1.42,28,278892,17794
268578,Air_India,AI-770,Kolkata,Night,one,Morning,Bangalore,12.42,22,268578,60978
273225,Vistara,UK-772,Kolkata,Morning,one,Night,Chennai,12.67,16,273225,55502
235290,Vistara,UK-902,Mumbai,Afternoon,one,Night,Kolkata,7,16,235290,62045
276710,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,7.75,39,276710,54115
279289,Vistara,UK-890,Hyderabad,Evening,one,Early_Morning,Mumbai,14.25,33,279289,66267
288923,Air_India,AI-539,Chennai,Evening,zero,Evening,Delhi,2.83,25,288923,27792
262698,Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,11.17,26,262698,84756
282945,Vistara,UK-890,Hyderabad,Evening,one,Evening,Bangalore,25.17,48,282945,63277
275708,Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,15.08,20,275708,51875
232062,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,14.92,25,232062,66928
248180,Vistara,UK-820,Bangalore,Evening,zero,Night,Delhi,2.67,44,248180,32923
220573,Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,14.08,27,220573,53937
241496,Air_India,AI-671,Mumbai,Morning,zero,Morning,Chennai,1.92,2,241496,36983
296573,Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,9.25,16,296573,55377
268255,Air_India,AI-763,Kolkata,Early_Morning,one,Late_Night,Bangalore,17.17,17,268255,60978
248217,Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Delhi,13.08,44,248217,50361
254574,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Kolkata,16.17,28,254574,60508
208483,Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,15.25,18,208483,53164
280611,Vistara,UK-870,Hyderabad,Night,one,Night,Bangalore,23.83,8,280611,64139
261280,Air_India,AI-505,Bangalore,Morning,one,Afternoon,Chennai,26.25,49,261280,60396
232015,Vistara,UK-986,Mumbai,Night,one,Morning,Bangalore,9.92,25,232015,54608
210645,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,3.75,38,210645,22152
282328,Air_India,AI-698,Hyderabad,Night,one,Evening,Bangalore,20.25,38,282328,38043
226500,Vistara,UK-958,Mumbai,Afternoon,zero,Afternoon,Delhi,2.08,17,226500,30092
263438,Air_India,AI-713,Kolkata,Morning,one,Evening,Delhi,8.25,40,263438,45012
250349,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,12.08,21,250349,62524
282937,Air_India,AI-543,Hyderabad,Morning,one,Night,Bangalore,14.17,48,282937,56590
280095,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,15.5,46,280095,45883
221571,Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,2.33,45,221571,24056
207646,Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,2.17,11,207646,34472
222008,Vistara,UK-945,Delhi,Morning,one,Evening,Chennai,8.25,4,222008,67848
257658,Vistara,UK-852,Bangalore,Morning,one,Night,Hyderabad,11.42,29,257658,37985
224926,Air_India,AI-805,Delhi,Evening,one,Morning,Chennai,14.92,49,224926,45257
219965,Air_India,AI-887,Delhi,Early_Morning,one,Night,Hyderabad,14.58,17,219965,39321
281681,Vistara,UK-876,Hyderabad,Night,one,Morning,Bangalore,13.17,27,281681,38099
207888,Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,7,13,207888,41281
277178,Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Delhi,5.58,48,277178,51875
252051,Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,9.75,40,252051,69244
250451,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,15.92,22,250451,68841
243801,Air_India,AI-442,Mumbai,Afternoon,one,Night,Chennai,8,34,243801,49613
283081,Vistara,UK-876,Hyderabad,Night,one,Evening,Kolkata,22.33,4,283081,48851
269107,Vistara,UK-776,Kolkata,Evening,one,Night,Bangalore,27.33,31,269107,52287
238501,Vistara,UK-910,Mumbai,Evening,one,Night,Hyderabad,5.33,9,238501,53645
253947,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Kolkata,16.92,19,253947,51817
288948,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,7.08,25,288948,57920
292918,Vistara,UK-834,Chennai,Evening,one,Early_Morning,Mumbai,14.75,41,292918,61873
259108,Vistara,UK-852,Bangalore,Morning,one,Morning,Chennai,23.33,5,259108,44280
210437,Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,2.17,36,210437,34472
233050,Vistara,UK-960,Mumbai,Morning,one,Evening,Bangalore,6.92,36,233050,74880
98064,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,14.08,24,98064,6798
265945,Vistara,UK-778,Kolkata,Afternoon,one,Night,Mumbai,6.67,29,265945,80511
209549,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,2.25,28,209549,36712
235825,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,11.67,22,235825,72125
248035,Air_India,AI-516,Bangalore,Early_Morning,one,Evening,Delhi,10.92,42,248035,35554
258119,Vistara,UK-850,Bangalore,Evening,one,Night,Hyderabad,25,36,258119,37985
257641,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Hyderabad,17.42,28,257641,56476
236393,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,10.58,29,236393,64285
207662,Air_India,AI-499,Delhi,Afternoon,one,Afternoon,Mumbai,26.83,11,207662,38022
261783,Vistara,UK-772,Kolkata,Morning,one,Evening,Delhi,6.5,10,261783,74015
282705,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Bangalore,4.83,45,282705,38099
280575,Vistara,UK-876,Hyderabad,Night,one,Morning,Bangalore,11.25,8,280575,41974
247951,Air_India,AI-738,Bangalore,Morning,one,Night,Delhi,9.08,41,247951,39847
249532,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,13.17,12,249532,54684
278370,Vistara,UK-878,Hyderabad,Afternoon,zero,Afternoon,Mumbai,1.58,20,278370,17794
294478,Vistara,UK-824,Chennai,Night,one,Night,Bangalore,26.33,22,294478,44144
277634,Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,13.5,8,277634,58315
214139,Air_India,AI-401,Delhi,Early_Morning,one,Late_Night,Bangalore,19,28,214139,52522
271328,Air_India,AI-770,Kolkata,Night,one,Evening,Hyderabad,22.83,24,271328,52063
257967,Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,17.17,33,257967,56476
298626,Air_India,AI-569,Chennai,Early_Morning,one,Night,Hyderabad,15.25,17,298626,40593
245718,Vistara,UK-850,Bangalore,Evening,one,Morning,Delhi,12.67,13,245718,50361
238547,Air_India,AI-685,Mumbai,Early_Morning,one,Afternoon,Hyderabad,9.67,10,238547,31756
227280,Vistara,UK-960,Mumbai,Morning,zero,Afternoon,Delhi,2.17,24,227280,42412
243361,Air_India,AI-687,Mumbai,Afternoon,one,Night,Chennai,7.58,28,243361,49613
221553,Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,19,44,221553,51697
218865,Air_India,AI-540,Delhi,Night,one,Afternoon,Kolkata,17.25,46,218865,47545
213226,Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,5.08,17,213226,57017
242739,Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,10.83,19,242739,61933
281363,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Bangalore,13.58,21,281363,56590
207384,Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,11.58,8,207384,53164
219339,Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,2.25,6,219339,24056
250307,Vistara,UK-657,Bangalore,Morning,one,Night,Mumbai,10.08,21,250307,48289
251483,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,13.17,34,251483,54684
295716,Vistara,UK-826,Chennai,Afternoon,one,Evening,Bangalore,6.75,46,295716,44144
252602,Vistara,UK-866,Bangalore,Night,zero,Night,Mumbai,1.75,47,252602,20760
240570,Air_India,AI-809,Mumbai,Morning,one,Night,Hyderabad,13.58,37,240570,45693
234812,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,10.58,10,234812,74365
281626,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Bangalore,19.92,26,281626,38099
251689,Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,8,36,251689,67004
297562,Vistara,UK-838,Chennai,Night,one,Night,Kolkata,25.67,38,297562,55377
218194,Air_India,AI-887,Delhi,Early_Morning,one,Night,Kolkata,16.67,36,218194,53209
258647,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Hyderabad,10,44,258647,56588
250260,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,12.08,20,250260,62524
249935,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,15,16,249935,74844
219734,Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,2.17,13,219734,23944
240169,Vistara,UK-873,Mumbai,Early_Morning,zero,Early_Morning,Hyderabad,1.5,32,240169,17604
236357,Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Kolkata,12.17,29,236357,49725
288450,Vistara,UK-828,Chennai,Early_Morning,one,Night,Delhi,14.92,16,288450,60160
208972,Air_India,AI-491,Delhi,Morning,one,Afternoon,Mumbai,3.92,23,208972,29622
290810,Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,15.5,9,290810,69825
225828,Air_India,AI-671,Mumbai,Morning,one,Morning,Delhi,23.83,10,225828,50957
260324,Air_India,AI-505,Bangalore,Morning,one,Evening,Chennai,8.58,31,260324,60396
297260,Air_India,AI-430,Chennai,Morning,one,Morning,Kolkata,23.08,31,297260,55377
261122,Air_India,AI-501,Bangalore,Afternoon,one,Afternoon,Chennai,23.33,46,261122,60396
259345,Vistara,UK-866,Bangalore,Night,one,Morning,Chennai,11.17,12,259345,44280
259788,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Chennai,8.33,21,259788,60396
215114,Air_India,AI-560,Delhi,Morning,one,Afternoon,Bangalore,6.17,40,215114,35490
210135,Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,2.17,33,210135,42424
218724,Air_India,AI-544,Delhi,Evening,one,Morning,Kolkata,14.83,44,218724,43376
258842,Vistara,UK-802,Bangalore,Evening,one,Morning,Hyderabad,14.58,47,258842,56588
263721,Vistara,UK-776,Kolkata,Evening,one,Late_Night,Delhi,7.33,45,263721,53743
239751,Air_India,AI-867,Mumbai,Night,one,Night,Hyderabad,23.08,26,239751,45693
207952,Air_India,AI-423,Delhi,Early_Morning,one,Night,Mumbai,15.25,13,207952,59033
241023,Air_India,AI-673,Mumbai,Early_Morning,one,Night,Hyderabad,13.33,43,241023,50868
249250,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,9.5,9,249250,54684
259786,Air_India,AI-640,Bangalore,Early_Morning,two_or_more,Evening,Chennai,9.5,21,259786,52064
285244,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Kolkata,28,47,285244,48851
207909,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,2.33,13,207909,44664
284261,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Kolkata,17.67,28,284261,51707
222678,Vistara,UK-943,Delhi,Early_Morning,one,Night,Chennai,15.58,14,222678,60232
290557,Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,11.25,5,290557,85617
223015,Vistara,UK-977,Delhi,Evening,one,Morning,Chennai,16.83,19,223015,60232
261079,Vistara,UK-858,Bangalore,Early_Morning,one,Morning,Chennai,5.17,46,261079,44280
227489,Air_India,AI-615,Mumbai,Early_Morning,one,Afternoon,Delhi,8.08,26,227489,41101
298451,Vistara,UK-834,Chennai,Evening,one,Evening,Hyderabad,26.75,12,298451,51457
286666,Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Chennai,27.08,30,286666,51707
284102,Air_India,AI-543,Hyderabad,Morning,one,Night,Kolkata,11,25,284102,51707
277848,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,15.17,11,277848,66155
213526,Air_India,AI-805,Delhi,Evening,one,Evening,Bangalore,22.5,21,213526,42457
217534,Vistara,UK-963,Delhi,Morning,one,Evening,Kolkata,11.08,26,217534,67769
279041,Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,12.25,30,279041,45883
224527,Vistara,UK-951,Delhi,Afternoon,one,Evening,Chennai,5.58,43,224527,45672
245574,Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,12,11,245574,57081
270676,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,12.75,11,270676,52175
259259,Vistara,UK-866,Bangalore,Night,one,Night,Chennai,25.42,9,259259,44280
282314,Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,12.42,38,282314,38099
283187,Air_India,AI-840,Hyderabad,Night,one,Night,Kolkata,25.5,6,283187,51707
252043,Vistara,UK-812,Bangalore,Morning,one,Evening,Mumbai,7.92,40,252043,67004
285070,Vistara,UK-870,Hyderabad,Night,one,Evening,Kolkata,23,43,285070,60074
243111,Vistara,UK-970,Mumbai,Morning,one,Night,Chennai,11.5,24,243111,64173
223574,Vistara,UK-981,Delhi,Night,one,Morning,Chennai,14.17,28,223574,57992
264828,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.25,14,264828,50271
282647,Vistara,UK-870,Hyderabad,Night,one,Evening,Bangalore,20.42,43,282647,63277
292816,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,40,292816,23838
230517,Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Bangalore,8.25,8,230517,54608
224817,Vistara,UK-975,Delhi,Early_Morning,one,Morning,Chennai,5.83,47,224817,57992
156110,Air_India,AI-525,Hyderabad,Early_Morning,one,Evening,Delhi,12,31,156110,5433
282619,Vistara,UK-890,Hyderabad,Evening,one,Night,Bangalore,5.67,43,282619,56702
261601,Vistara,UK-774,Kolkata,Night,one,Afternoon,Delhi,16.08,7,261601,66063
291660,Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,19.42,22,291660,61985
210403,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,12.83,35,210403,59033
226539,Air_India,AI-679,Mumbai,Morning,one,Evening,Delhi,9.42,17,226539,44610
238009,Vistara,UK-940,Mumbai,Evening,one,Evening,Hyderabad,21.25,1,238009,70557
287820,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,7.5,6,287820,45600
293202,Air_India,AI-509,Chennai,Early_Morning,one,Night,Mumbai,14.42,46,293202,34681
273451,Vistara,UK-776,Kolkata,Evening,one,Night,Chennai,5.5,21,273451,55502
296285,Air_India,AI-430,Chennai,Morning,one,Night,Kolkata,12.42,10,296285,55377
235392,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,15.08,17,235392,64285
248596,Air_India,AI-610,Bangalore,Evening,one,Night,Delhi,25.33,49,248596,42521
209962,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,2.17,32,209962,22152
236313,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,10.58,28,236313,64285
244988,Vistara,UK-850,Bangalore,Evening,one,Afternoon,Delhi,18.58,4,244988,50473
253153,Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Kolkata,13,7,253153,60508
279123,Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,15,31,279123,52715
283734,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Kolkata,15.83,18,283734,51707
215723,Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,6.42,48,215723,54777
265082,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,11.33,17,265082,81598
237727,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,16,46,237727,57565
216890,Air_India,AI-887,Delhi,Early_Morning,one,Night,Kolkata,16.67,17,216890,53209
278001,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,15.08,14,278001,45883
217143,Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,2.25,21,217143,27976
208479,Air_India,AI-502,Delhi,Afternoon,one,Night,Mumbai,7.58,18,208479,53164
230326,Air_India,AI-607,Mumbai,Evening,zero,Evening,Bangalore,1.75,6,230326,20684
244897,Vistara,UK-852,Bangalore,Morning,one,Afternoon,Delhi,5,2,244897,69289
224671,Vistara,UK-953,Delhi,Night,one,Evening,Chennai,23.25,45,224671,45672
229072,Air_India,AI-649,Mumbai,Early_Morning,one,Late_Night,Delhi,17.08,41,229072,35520
219738,Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,11.17,13,219738,39377
209308,Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,6.33,26,209308,29777
228889,Air_India,AI-657,Mumbai,Early_Morning,one,Evening,Delhi,11.58,39,228889,42765
284715,Air_India,AI-616,Hyderabad,Morning,one,Afternoon,Kolkata,27.75,37,284715,48795
292817,Air_India,AI-429,Chennai,Afternoon,one,Afternoon,Mumbai,26.58,40,292817,31622
299233,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,12.17,30,299233,51457
247730,Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,10.92,38,247730,50361
213641,Vistara,UK-975,Delhi,Early_Morning,one,Evening,Bangalore,12,22,213641,54777
289127,Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,8.33,28,289127,57920
292188,Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,15.5,30,292188,61873
293641,Vistara,UK-826,Chennai,Afternoon,one,Night,Bangalore,8.42,7,293641,44144
265577,Vistara,UK-706,Kolkata,Morning,one,Morning,Mumbai,25.25,24,265577,69065
228244,Vistara,UK-996,Mumbai,Evening,zero,Night,Delhi,2.17,33,228244,44652
291950,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,27,291950,23838
219244,Air_India,AI-624,Delhi,Evening,one,Night,Hyderabad,26.58,4,219244,39321
294850,Vistara,UK-834,Chennai,Evening,one,Night,Bangalore,6.17,29,294850,60260
220358,Air_India,AI-544,Delhi,Evening,zero,Evening,Hyderabad,2.08,24,220358,23944
236363,Air_India,AI-864,Mumbai,Early_Morning,one,Night,Kolkata,15.33,29,236363,49725
221460,Air_India,AI-665,Delhi,Early_Morning,one,Night,Hyderabad,13.58,43,221460,39321
259145,Vistara,UK-854,Bangalore,Evening,one,Morning,Chennai,17.42,6,259145,44280
232746,Air_India,AI-888,Mumbai,Evening,one,Evening,Bangalore,21.25,33,232746,54608
228125,Vistara,UK-877,Mumbai,Morning,one,Night,Delhi,12.08,32,228125,41269
284730,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Kolkata,17.67,37,284730,51707
223399,Vistara,UK-819,Delhi,Afternoon,two_or_more,Night,Chennai,8.83,25,223399,76684
283378,Vistara,UK-880,Hyderabad,Afternoon,one,Evening,Kolkata,6.17,10,283378,63579
291440,Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,15.42,19,291440,49553
248134,Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,10.92,43,248134,50361
246937,Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,7.42,28,246937,54841
298335,Air_India,AI-539,Chennai,Evening,one,Night,Hyderabad,6.58,9,298335,51345
263011,Air_India,AI-573,Kolkata,Evening,one,Night,Delhi,26.08,32,263011,57939
274416,Vistara,UK-772,Kolkata,Morning,one,Morning,Chennai,25.42,42,274416,55502
284765,Vistara,UK-874,Hyderabad,Morning,one,Morning,Kolkata,25.17,38,284765,48851
209033,Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,13.08,23,209033,51384
248184,Air_India,AI-505,Bangalore,Morning,zero,Afternoon,Delhi,2.58,44,248184,32923
277580,Vistara,UK-890,Hyderabad,Evening,one,Morning,Mumbai,16.08,7,277580,60555
209077,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,2.33,24,209077,28872
266682,Air_India,AI-402,Kolkata,Morning,one,Evening,Mumbai,9.58,40,266682,50271
293213,Air_India,AI-430,Chennai,Morning,one,Morning,Mumbai,24.25,46,293213,49553
233273,Air_India,AI-809,Mumbai,Morning,one,Late_Night,Bangalore,14.17,39,233273,54608
249328,Air_India,AI-610,Bangalore,Evening,zero,Night,Mumbai,1.92,10,249328,20760
261504,Air_India,AI-763,Kolkata,Early_Morning,zero,Morning,Delhi,2.25,6,261504,28510
234361,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Kolkata,12.08,5,234361,49725
295691,Vistara,UK-838,Chennai,Night,one,Morning,Bangalore,11.92,45,295691,60260
295553,Air_India,AI-538,Chennai,Night,one,Afternoon,Bangalore,16.17,42,295553,60260
